epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.5399,3.28301,3.85299,3.67134,0.18166,0.25697,0.12367,0.0452,2.49961,3.00215,3.04591,0.000332604,0.000332604,0.000332604
2,82.4615,2.10488,2.49671,2.40199,0.33632,0.45929,0.39131,0.2157,1.82511,2.23381,2.22935,0.000652752,0.000652752,0.000652752
3,120.68,1.73232,1.96709,1.98851,0.47825,0.62961,0.59102,0.37125,1.4026,1.54797,1.81718,0.000959699,0.000959699,0.000959699
4,158.8,1.5582,1.68735,1.80434,0.69414,0.62273,0.69622,0.46097,1.24307,1.31428,1.66154,0.0009406,0.0009406,0.0009406
5,196.502,1.45157,1.50524,1.69757,0.76842,0.731,0.77881,0.53528,1.19295,1.13018,1.58865,0.0009208,0.0009208,0.0009208
6,233.863,1.36896,1.37304,1.61186,0.79347,0.7626,0.81903,0.55322,1.13566,1.03944,1.51631,0.000901,0.000901,0.000901
7,271.988,1.30213,1.24949,1.54629,0.83386,0.7761,0.86159,0.58124,1.07191,0.93549,1.41724,0.0008812,0.0008812,0.0008812
8,310.209,1.24898,1.16116,1.49798,0.8989,0.83274,0.88731,0.6257,1.04755,0.84621,1.42582,0.0008614,0.0008614,0.0008614
9,349.794,1.21186,1.09969,1.45973,0.93281,0.83178,0.9027,0.64907,0.98917,0.8054,1.34201,0.0008416,0.0008416,0.0008416
10,390.239,1.17904,1.0424,1.43187,0.90968,0.83793,0.90922,0.66878,0.97933,0.76657,1.31603,0.0008218,0.0008218,0.0008218
11,430.583,1.14059,0.98414,1.40238,0.9127,0.86458,0.92437,0.67656,0.94005,0.70795,1.29389,0.000802,0.000802,0.000802
12,469.732,1.12464,0.95782,1.38779,0.92652,0.87218,0.92705,0.69866,0.90707,0.67979,1.25709,0.0007822,0.0007822,0.0007822
13,508.626,1.0988,0.92122,1.3673,0.92885,0.85052,0.92606,0.67581,0.95707,0.66246,1.27706,0.0007624,0.0007624,0.0007624
14,548.32,1.08426,0.89476,1.34695,0.91227,0.87242,0.94014,0.69678,0.91476,0.64415,1.25381,0.0007426,0.0007426,0.0007426
15,588.153,1.05965,0.86527,1.32498,0.93302,0.88167,0.93647,0.69816,0.88684,0.62803,1.22662,0.0007228,0.0007228,0.0007228
16,627.149,1.0436,0.83972,1.31803,0.95899,0.89894,0.95196,0.72359,0.86917,0.56978,1.21955,0.000703,0.000703,0.000703
17,666.296,1.03652,0.82798,1.30636,0.9601,0.90654,0.9515,0.71829,0.86102,0.59705,1.21334,0.0006832,0.0006832,0.0006832
18,704.108,1.01336,0.80401,1.29424,0.92612,0.90104,0.95234,0.7211,0.83915,0.57611,1.18523,0.0006634,0.0006634,0.0006634
19,741.828,0.99691,0.79031,1.27899,0.95317,0.90156,0.95372,0.73308,0.82176,0.53242,1.17197,0.0006436,0.0006436,0.0006436
20,779.75,0.99488,0.76989,1.27515,0.93489,0.90955,0.95433,0.7282,0.81988,0.53155,1.15907,0.0006238,0.0006238,0.0006238
21,817.858,0.9772,0.74742,1.25961,0.95627,0.92057,0.95829,0.72684,0.83605,0.52123,1.16673,0.000604,0.000604,0.000604
22,856.156,0.96341,0.73178,1.25099,0.9669,0.90282,0.9533,0.73835,0.79679,0.51544,1.14327,0.0005842,0.0005842,0.0005842
23,894.243,0.95572,0.72045,1.24279,0.98002,0.92999,0.9582,0.74374,0.819,0.50729,1.15537,0.0005644,0.0005644,0.0005644
24,932.403,0.94392,0.71353,1.23536,0.96868,0.93445,0.96182,0.75416,0.78814,0.48221,1.1359,0.0005446,0.0005446,0.0005446
25,970.471,0.94598,0.69372,1.23316,0.97005,0.92056,0.96269,0.75657,0.78297,0.4767,1.12699,0.0005248,0.0005248,0.0005248
26,1008.76,0.93514,0.69911,1.22763,0.95997,0.90773,0.95728,0.74517,0.78153,0.49866,1.12675,0.000505,0.000505,0.000505
27,1046.53,0.92236,0.67839,1.21809,0.96518,0.91819,0.96034,0.75457,0.7752,0.47682,1.11969,0.0004852,0.0004852,0.0004852
28,1084.05,0.9125,0.67023,1.21593,0.97539,0.92928,0.96412,0.75492,0.78289,0.46559,1.12552,0.0004654,0.0004654,0.0004654
29,1121.47,0.89807,0.65249,1.20186,0.95184,0.94205,0.96737,0.74637,0.79443,0.47776,1.12804,0.0004456,0.0004456,0.0004456
30,1159.3,0.8881,0.64971,1.19393,0.95157,0.94567,0.97154,0.76201,0.78123,0.45921,1.12462,0.0004258,0.0004258,0.0004258
31,1196.92,0.88129,0.63349,1.19412,0.95178,0.94117,0.9689,0.76303,0.76509,0.44867,1.10879,0.000406,0.000406,0.000406
32,1234.68,0.88038,0.63047,1.19461,0.96126,0.93829,0.97218,0.76849,0.75707,0.44096,1.10181,0.0003862,0.0003862,0.0003862
